CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0164,0.9960306761647651
C0001,C0103,0.981547663343541
C0001,C0069,0.9634229845048103
C0002,C0029,0.9995254674856235
C0002,C0031,0.99775636937123
C0002,C0077,0.9966562080055338
C0003,C0027,0.8518840185043871
C0003,C0176,0.842154813751891
C0003,C0073,0.7800201478520015
C0004,C0075,0.9976748956569756
C0004,C0175,0.9922029298017025
C0004,C0195,0.9903446924954916
C0005,C0123,0.9985759073569223
C0005,C0063,0.9985521261942488
C0005,C0095,0.9967801050868547
C0006,C0079,0.9999825786832692
C0006,C0117,0.998358877118016
C0006,C0196,0.992157795880907
C0007,C0140,0.9980683525793763
C0007,C0085,0.9963304029063015
C0007,C0135,0.9934715803921623
C0008,C0084,0.9927269104607044
C0008,C0090,0.9856713534011196
C0008,C0179,0.9812749979889701
C0009,C0192,0.996476538657172
C0009,C0083,0.9924494271579911
C0009,C0043,0.9920834219214936
C0010,C0029,0.9756617815044636
C0010,C0094,0.9738934481935068
C0010,C0002,0.9709022764984686
C0011,C0096,0.9969659088750518
C0011,C0064,0.9967444363481905
C0011,C0171,0.9963139558436176
C0012,C0068,0.9982051714207936
C0012,C0102,0.9979553285331605
C0012,C0065,0.9969732922781233
C0013,C0022,0.9983418112257316
C0013,C0188,0.9970663803435185
C0013,C0141,0.9969692763691936
C0014,C0128,0.9974791709345968
C0014,C0071,0.9944511534928799
C0014,C0058,0.9943495626468141
C0015,C0150,0.9984932659779859
C0015,C0035,0.9969031482549942
C0015,C0130,0.9968104546751346
C0016,C0107,0.9776210059522069
C0016,C0183,0.8709599176660767
C0016,C0048,0.8707190886630185
C0017,C0113,0.9982994952249372
C0017,C0162,0.9977442269663706
C0017,C0124,0.9966083002520008
C0018,C0182,0.9894449496363869
C0018,C0148,0.9860455388751654
C0018,C0200,0.982816653431773
C0019,C0172,0.9950813312248333
C0019,C0116,0.9867271473264533
C0019,C0076,0.950998665499003
C0020,C0110,0.9982511124068187
C0020,C0078,0.9952776095720048
C0020,C0167,0.9944261502474104
